time;scale
0;0.213272602
1;0.204843287
2;0.196413971
3;0.204989785
4;0.213565599
5;0.225526259
6;0.23748692
7;0.253482419
8;0.269477919
9;0.281321165
10;0.29316441
11;0.293938167
12;0.294711923
13;0.298710798
14;0.302709674
15;0.28781372
16;0.272917765
17;0.245013438
18;0.21710911
19;0.199204877
20;0.181300644
21;0.186037309
22;0.190773975
23;0.20215921
24;0.213544445
25;0.21712233
26;0.220700215
27;0.220722428
28;0.220744641
29;0.21839482
30;0.216044998
31;0.213233993
32;0.210422988
33;0.212017036
34;0.213611085
35;0.226097982
36;0.238584879
37;0.260485871
38;0.282386863
39;0.302546246
40;0.322705629
41;0.346483623
42;0.370261616
43;0.402124093
44;0.43398657
45;0.463488123
46;0.492989675
47;0.535411275
48;0.577832876
49;0.603810486
50;0.629788097
51;0.638155536
52;0.646522976
53;0.667601556
54;0.688680136
55;0.742600154
56;0.796520171
57;0.864480941
58;0.932441711
59;0.966220856
60;1
61;0.976528759
62;0.953057518
63;0.931187732
64;0.909317945
65;0.932593499
66;0.955869053
67;0.944510261
68;0.933151468
69;0.921343655
70;0.909535842
71;0.888981385
72;0.868426928
73;0.865334026
74;0.862241125
75;0.848581171
76;0.834921216
77;0.824690525
78;0.814459834
79;0.800651792
80;0.786843749
81;0.795117574
82;0.803391398
83;0.802574279
84;0.80175716
85;0.788318276
86;0.774879392
87;0.75881355
88;0.742747709
89;0.740524292
90;0.738300875
91;0.740492559
92;0.742684243
93;0.745370963
94;0.748057683
